County,City,Municipality,Settlement
,,,Donja Budičina
,,,Donja Mlinoga
,,,Donja Pastuša
,,,Donje Mokrice
,,,Dragotinci
,,,Dumače
,,,Glinska Poljana
,,,Gora
,,,Gornja Bačuga
,,,Gornja Mlinoga
,,,Gornja Pastuša
,,,Gornje Mokrice
,,,Graberje
,,,Grabovac Banski
,,,Hrastovica
,,,Hrvatski Čuntić
,,,Jabukovac
,,,Jošavica
,,,Klinac
,,,Kraljevčani
,,,Križ Hrastovački
,,,Luščani
,,,Mačkovo Selo
,,,Mala Gorica
,,,Međurače
,,,Miočinovići
,,,Mošćenica
,,,Moštanica
,,,Nebojan
,,,Nova Drenčina
,,,Novi Farkašić
,,,Novo Selište
,,,Pecki
,,,Petkovac
,,,Petrinja
,,,Prnjavor Čuntićki
,,,Sibić
,,,Slana
,,,Srednje Mokrice
,,,Strašnik
,,,Stražbenica
,,,Taborište
,,,Tremušnjak
,,,Veliki Šušnjar
,,,Vratečko
,,,Župić
,Sisak,,Blinjski Kut
,,,Budaševo
,,,Bukovsko
,,,Crnac
,,,Čigoć
,,,Donje Komarevo
,,,Gornje Komarevo
,,,Greda
,,,Gušće
,,,Hrastelnica
,,,Jazvenik
,,,Klobučak
,,,Kratečko
,,,Letovanci
,,,Lonja
,,,Lukavec Posavski
,,,Madžari
,,,Mužilovčica
,,,Novo Pračno
,,,Novo Selo
,,,Novo Selo Palanječko
,,,Odra Sisačka
,,,Palanjek
,,,Prelošćica
,,,Sela
,,,Sisak
,,,Stara Drenčina
,,,Staro Pračno
,,,Staro Selo
,,,Stupno
,,,Suvoj
,,,Topolovac
,,,Veliko Svinjičko
,,,Vurot
,,,Žabno 
,,Donji Kukuruzari,Babina Rijeka
,,,Borojevići
,,,Donja Velešnja
,,,Donji Bjelovac
,,,Donji Kukuruzari
,,,Gornja Velešnja
,,,Gornji Bjelovac
,,,Gornji Kukuruzari
,,,Knezovljani
,,,Komogovina
,,,Kostreši Bjelovački
,,,Lovča
,,,Mečenčani
,,,Prevršac
,,,Umetić 
,,Dvor,Brđani Šamarički
,,,Buinja
,,,Buinjski Riječani
,,,Čavlovica
,,,Ćore
,,,Divuša
,,,Donja Oraovica
,,,Donja Stupnica
,,,Donji Dobretin
,,,Donji Javoranj
,,,Donji Žirovac
,,,Draga
,,,Draškovac
,,,Dvor
,,,Gage
,,,Glavičani
,,,Golubovac Divuški
,,,Gorička
,,,Gornja Oraovica
,,,Gornja Stupnica
,,,Gornji Dobretin
,,,Gornji Javoranj
,,,Gornji Žirovac
,,,Grabovica
,,,Grmušani
,,,Gvozdansko
,,,Hrtić
,,,Javnica
,,,Javornik
,,,Jovac
,,,Kepčije
,,,Kobiljak
,,,Komora
,,,Kosna
,,,Kotarani
,,,Kozibrod
,,,Kuljani
,,,Lotine
,,,Ljeskovac
,,,Ljubina
,,,Majdan
,,,Matijevići
,,,Ostojići
,,,Paukovac
,,,Pedalj
,,,Rogulje
,,,Rudeži
,,,Rujevac
,,,Sočanica
,,,Stanić Polje
,,,Struga Banska
,,,Šakanlije
,,,Šegestin
,,,Švrakarica
,,,Trgovi
,,,Udetin
,,,Unčani
,,,Vanići
,,,Volinja
,,,Vrpolje Bansko
,,,Zakopa
,,,Zamlača
,,,Zrin
,,,Zut
,,Gvozd,Blatuša
,,,Bović
,,,Brnjavac
,,,Crevarska Strana
,,,Čremušnica
,,,Dugo Selo
,,,Golinja
,,,Gornja Čemernica
,,,Gornja Trstenica
,,,Gvozd
,,,Kirin
,,,Kozarac
,,,Ostrožin
,,,Pješčanica
,,,Podgorje
,,,Slavsko Polje
,,,Stipan
,,,Šljivovac
,,,Trepča 
,,Hrvatska Dubica,Baćin
,,,Donji Cerovljani
,,,Gornji Cerovljani
,,,Hrvatska Dubica
,,,Slabinja
,,,Živaja 
,,Jasenovac,Drenov Bok
,,,Jasenovac
,,,Košutarica
,,,Krapje
,,,Mlaka
,,,Puska
,,,Tanac
,,,Trebež
,,,Uštica
,,,Višnjica Uštička 
,,Lekenik,Brežane Lekeničke
,,,Brkiševina
,,,Cerje Letovanićko
,,,Donji Vukojevac
,,,Dužica
,,,Gornji Vukojevac
,,,Lekenik
,,,Letovanić
,,,Palanjek Pokupski
,,,Pešćenica
,,,Petrovec
,,,Pokupsko Vratečko
,,,Poljana Lekenička
,,,Stari Brod
,,,Stari Farkašić
,,,Šišinec
,,,Vrh Letovanićki
,,,Žažina 
,,Lipovljani,Kraljeva Velika
,,,Krivaj
,,,Lipovljani
,,,Piljenice 
,,Majur,Gornja Meminska
,,,Gornji Hrastovac
,,,Graboštani
,,,Kostrići
,,,Majur
,,,Malo Krčevo
,,,Mračaj
,,,Srednja Meminska
,,,Stubalj
,,,Svinica
,,,Veliko Krčevo 
,,Martinska Ves,Bok Palanječki
,,,Desni Dubrovčak
,,,Desno Trebarjevo
,,,Desno Željezno
,,,Jezero Posavsko
,,,Lijeva Luka
,,,Lijevo Trebarjevo
,,,Lijevo Željezno
,,,Ljubljanica
,,,Mahovo
,,,Martinska Ves
,,,Setuš
,,,Strelečko
,,,Tišina Erdedska
,,,Tišina Kaptolska
,,,Žirčica 
,,Sunja,Bestrma
,,,Bistrač
,,,Blinjska Greda
,,,Bobovac
,,,Brđani Cesta
,,,Brđani Kosa
,,,Crkveni Bok
,,,Čapljani
,,,Četvrtkovac
,,,Donja Letina
,,,Donji Hrastovac
,,,Drljača
,,,Gornja Letina
,,,Gradusa Posavska
,,,Greda Sunjska
,,,Ivanjski Bok
,,,Jasenovčani
,,,Kinjačka
,,,Kladari
,,,Kostreši Šaški
,,,Krivaj Sunjski
,,,Mala Gradusa
,,,Mala Paukova
,,,Novoselci
,,,Papići
,,,Petrinjci
,,,Pobrđani
,,,Radonja Luka
,,,Selišće Sunjsko
,,,Sjeverovac
,,,Slovinci
,,,Staza
,,,Strmen
,,,Sunja
,,,Šaš
,,,Timarci
,,,Vedro Polje
,,,Velika Gradusa
,,,Vukoševac
,,,Žreme 
,,Topusko,Batinova Kosa
,,,Bukovica
,,,Crni Potok
,,,Donja Čemernica
,,,Gređani
,,,Hrvatsko Selo
,,,Katinovac
,,,Mala Vranovina
,,,Malička
,,,Pecka
,,,Perna
,,,Ponikvari
,,,Staro Selo Topusko
,,,Topusko
,,,Velika Vranovina
,,,Vorkapić 
,,Velika Ludina,Gornja Vlahinićka
,,,Grabričina
,,,Grabrov Potok
,,,Katoličko Selišće
,,,Kompator
,,,Ludinica
,,,Mala Ludina
,,,Mustafina Klada
,,,Okoli
,,,Ruškovica
,,,Velika Ludina
,,,Vidrenjak 
,Popovača,,Ciglenica
,,,Donja Gračenica
,,,Donja Jelenska
,,,Donja Vlahinička
,,,Gornja Gračenica
,,,Gornja Jelenska
,,,Moslavačka Slatina
,,,Osekovo
,,,Podbrđe
,,,Popovača
,,,Potok
,,,Stružec
,,,Voloder 
Karlovačka županija,Duga Resa,,Belajska Vinica
,,,Belavići
,,,Bošt
,,,Cerovački Galovići
,,,Donje Mrzlo Polje
,,,Donji Zvečaj
,,,Duga Resa
,,,Dvorjanci
,,,Galović Selo
,,,Gorica
,,,Gornje Mrzlo Polje
,,,Grganjica
,,,Gršćaki
,,,Kozalj Vrh
,,,Lišnica
,,,Mihalić Selo
,,,Mrežničke Poljice
,,,Mrežnički Brig
,,,Mrežnički Novaki
,,,Mrežnički Varoš
,,,Mrežničko
,,,Mrežničko Dvorište
,,,Novo Brdo Mrežničko
,,,Pećurkovo Brdo
,,,Petrakovo Brdo
,,,Sveti Petar Mrežnički
,,,Šeketino Brdo
,,,Venac Mrežnički
,,,Zvečaj 
,Karlovac,,Banska Selnica
,,,Banski Moravci
,,,Blatnica Pokupska
,,,Brezova Glava
,,,Brežani
,,,Duga Resa
,,,Cerovac Vukmanićki
,,,Donja Trebinja
,,,Donje Mekušje
,,,Donji Sjeničak
,,,Gornja Trebinja
,,,Gornje Stative
,,,Gornji Sjeničak
,,,Goršćaki
,,,Husje
,,,Ivančići Pokupski
,,,Ivanković Selo
,,,Ivošević Selo
,,,Kablar
,,,Karasi
,,,Karlovac
,,,Klipino Brdo
,,,Kljaić Brdo
,,,Knez Gorica
,,,Kobilić Pokupski
,,,Konjkovsko
,,,Koritinja
,,,Ladvenjak
,,,Lipje
,,,Luka Pokupska
,,,Mahićno
,,,Manjerovići
,,,Okić
,,,Popović Brdo
,,,Priselci
,,,Rečica
,,,Ribari
,,,Skakavac
,,,Slunjska Selnica
,,,Slunjski Moravci
,,,Šebreki
,,,Šišljavić
,,,Tušilović
,,,Tuškani
,,,Udbinja
,,,Utinja
,,,Vodostaj
,,,Vukmanić
,,,Vukoder
,,,Zadobarje
,,,Zagraj
,,,Zamršje 
,Ogulin,,Desmerice
,,,Donje Dubrave
,,,Donje Zagorje
,,,Drežnica
,,,Dujmić Selo
,,,Gornje Dubrave
,,,Gornje Zagorje
,,,Hreljin Ogulinski
,,,Jasenak
,,,Marković Selo
,,,Ogulin
,,,Otok Oštarijski
,,,Ponikve
,,,Popovo Selo
,,,Potok Musulinski
,,,Puškarići
,,,Ribarići
,,,Sabljak Selo
,,,Salopek Selo
,,,Sveti Petar
,,,Trošmarija
,,,Turkovići Ogulinski
,,,Vitunj
,,,Zagorje 
,Ozalj,,Badovinci
,,,Belinsko Selo
,,,Belošići
,,,Boševci
,,,Brašljevica
,,,Bratovanci
,,,Brezje Vivodinsko
,,,Breznik
,,,Brezovica Žumberačka
,,,Budim Vivodinski
,,,Bulići
,,,Cerje Vivodinsko
,,,Cvetišće
,,,Dančulovići
,,,Dojutrovica
,,,Doljani Žumberački
,,,Donji Lović
,,,Donji Oštri Vrh Ozaljski
,,,Dragoševci
,,,Dučići
,,,Durlinci
,,,Dvorišće Ozaljsko
,,,Dvorišće Vivodinsko
,,,Ferenci
,,,Fratrovci Ozaljski
,,,Furjanići
,,,Galezova Draga
,,,Galin
,,,Goleši Žumberački
,,,Goli Vrh Ozaljski
,,,Gorniki Vivodinski
,,,Gornje Pokupje
,,,Gornji Lović
,,,Gornji Oštri Vrh Ozaljski
,,,Goršćaki Ozaljski
,,,Grandić Breg
,,,Grdun
,,,Gudalji
,,,Hodinci
,,,Hrastovica Vivodinska
,,,Ilovac
,,,Jaškovo
,,,Kamenci
,,,Kašt
,,,Keseri
,,,Kuljaji
,,,Kunčani
,,,Levkušje
,,,Liješće
,,,Lović Prekriški
,,,Lukšići Ozaljski
,,,Lukunić Draga
,,,Mali Erjavec
,,,Malinci
,,,Novaki Ozaljski
,,,Obrež Vivodinski
,,,Ozalj
,,,Pećarići
,,,Petruš Vrh
,,,Pilatovci
,,,Podbrežje
,,,Podgraj
,,,Police Pirišće
,,,Polje Ozaljsko
,,,Popovići Žumberački
,,,Požun
,,,Radatovići
,,,Radina Vas
,,,Rajakovići
,,,Rujevo
,,,Sekulići
,,,Slapno
,,,Soldatići
,,,Sršići
,,,Stojavnica
,,,Svetice
,,,Svetičko Hrašće
,,,Šiljki
,,,Škaljevica
,,,Tomašnica
,,,Trešćerovac
,,,Trg
,,,Varaštovac
,,,Veliki Erjavec
,,,Vini Vrh
,,,Vivodina
,,,Vrbanska Draga
,,,Vrh Ozaljski
,,,Vrhovac
,,,Vrhovački Sopot
,,,Vrškovac
,,,Vuketić
,,,Vuksani
,,,Zajačko Selo
,,,Zaluka
,,,Zorkovac
,,,Zorkovac na Kupi
,,,Zorkovac Vivodinski 
,Slunj,,Arapovac
,,,Bandino Selo
,,,Blagaj
,,,Bukovac Perjasički
,,,Crno Vrelo
,,,Cvijanović Brdo
,,,Cvitović
,,,Čamerovac
,,,Donja Glina
,,,Donja Visočka
,,,Donje Primišlje
,,,Donje Taborište
,,,Donji Cerovac
,,,Donji Furjan
,,,Donji Kremen
,,,Donji Lađevac
,,,Donji Nikšić
,,,Donji Poloj
,,,Donji Popovac
,,,Dubrave
,,,Glinsko Vrelo
,,,Gornja Glina
,,,Gornja Visočka
,,,Gornje Primišlje
,,,Gornje Taborište
,,,Gornji Cerovac
,,,Gornji Furjan
,,,Gornji Kremen
,,,Gornji Lađevac
,,,Gornji Nikšić
,,,Gornji Popovac
,,,Grobnik
,,,Jame
,,,Klanac Perjasički
,,,Kosa
,,,Kosijer Selo
,,,Kutanja
,,,Kuzma Perjasička
,,,Lađevačko Selište
,,,Lapovac
,,,Lumbardenik
,,,Mali Vuković
,,,Marindolsko Brdo
,,,Miljevac
,,,Mjesto Primišlje
,,,Novo Selo
,,,Pavlovac
,,,Podmelnica
,,,Polje
,,,Rabinja
,,,Rastoke
,,,Salopek Luke
,,,Sastavak
,,,Slunj
,,,Slunjčica
,,,Snos
,,,Sparednjak
,,,Stojmerić
,,,Šlivnjak
,,,Točak
,,,Tržić Primišljanski
,,,Veljun
,,,Veljunska Glina
,,,Veljunski Ponorac
,,,Videkić Selo
,,,Zapoljak
,,,Zečev Varoš 
,,Barilović,Banjsko Selo
,,,Barilović
,,,Belaj
,,,Belajske Poljice
,,,Belajski Malinci
,,,Carevo Selo
,,,Cerovac Barilovićki
,,,Donja Perjasica
,,,Donji Skrad
,,,Donji Velemerić
,,,Gaćeško Selo
,,,Gornji Poloj
,,,Gornji Velemerić
,,,Kestenak
,,,Koranska Strana
,,,Koranski Brijeg
,,,Koransko Selo
,,,Kosijersko Selo
,,,Križ Koranski
,,,Leskovac Barilovićki
,,,Lučica
,,,Mala Kosa
,,,Mali Kozinac
,,,Marlovac
,,,Maurovići
,,,Miloševac
,,,Mrežnica
,,,Novi Dol
,,,Novo Selo Perjasičko
,,,Orijevac
,,,Perjasica
,,,Podvožić
,,,Ponorac Perjasički
,,,Potplaninsko
,,,Siča
,,,Srednji Poloj
,,,Svojić
,,,Šćulac
,,,Štirkovac
,,,Točak Perjasički
,,,Veliki Kozinac
,,,Vijenac Barilovićki
,,,Zinajevac
,,,Žabljak 
,,Bosiljevo,Beč
,,,Bitorajci
,,,Bosanci
,,,Bosiljevo
,,,Dani
,,,Dugače
,,,Fratrovci
,,,Fučkovac
,,,Glavica
,,,Grabrk
,,,Hrsina
,,,Jančani
,,,Johi
,,,Kasuni
,,,Korenić Brdo
,,,Kraljevo Selo
,,,Krč Bosiljevski
,,,Laslavići
,,,Lipovšćaki
,,,Lisičina Gorica
,,,Malik
,,,Mateše
,,,Milani
,,,Novo Selo Bosiljevsko
,,,Orišje
,,,Otok na Dobri
,,,Podrebar
,,,Podumol
,,,Potok Bosiljevski
,,,Pribanjci
,,,Rendulići
,,,Resnik Bosiljevski
,,,Sela Bosiljevska
,,,Skoblić Brdo
,,,Soline
,,,Spahići
,,,Strgari
,,,Špehari
,,,Umol
,,,Varoš Bosiljevska
,,,Vodena Draga
,,,Vrhova Gorica
,,,Žubrinci 
,,Cetingrad,Batnoga
,,,Begovo Brdo
,,,Bilo
,,,Bogovolja
,,,Buhača
,,,Cetingrad
,,,Cetinski Varoš
,,,Delić Poljana
,,,Donja Žrvnica
,,,Donje Gnojnice
,,,Đurin Potok
,,,Glinice
,,,Gnojnice
,,,Gojkovac
,,,Gornja Žrvnica
,,,Gornje Gnojnice
,,,Grabarska
,,,Kapljuv
,,,Kestenje
,,,Komesarac
,,,Kruškovača
,,,Kuk
,,,Luke
,,,Maljevac
,,,Maljevačko Selište
,,,Pašin Potok
,,,Podcetin
,,,Polojski Varoš
,,,Ponor
,,,Ruševica
,,,Sadikovac
,,,Srednje Selo
,,,Strmačka
,,,Šiljkovača
,,,Tatar Varoš
,,,Trnovi 
,,Draganić ,Draganić
,,Generalski Stol,Brcković Draga
,,,Crno Kamanje
,,,Dobrenići
,,,Donje Bukovlje
,,,Duga Gora
,,,Erdelj
,,,Generalski Stol
,,,Goričice Dobranske
,,,Gorinci
,,,Gornje Bukovlje
,,,Gornji Zvečaj
,,,Gradišće
,,,Jankovo Selište
,,,Keići
,,,Lešće
,,,Lipa
,,,Lipov Pesak
,,,Mateško Selo
,,,Mrežnički Brest
,,,Petrunići
,,,Protulipa
,,,Radočaji
,,,Sarovo
,,,Skukani
,,,Tomašići
,,,Trnovo 
,,Josipdol,Carevo Polje
,,,Cerovnik
,,,Istočni Trojvrh
,,,Josipdol
,,,Modruš
,,,Munjava
,,,Munjava Modruška
,,,Oštarije
,,,Sabljaki Modruški
,,,Salopeki Modruški
,,,Skradnik
,,,Trojvrh
,,,Vajin Vrh
,,,Vojnovac 
,,Kamanje,Brlog Ozaljski
,,,Kamanje
,,,Mali Vrh Kamanjski
,,,Orljakovo
,,,Preseka Ozaljska
,,,Reštovo
,,,Veliki Vrh Kamanjski
,,Krnjak,Bijeli Klanac
,,,Brebornica
,,,Budačka Rijeka
,,,Burić Selo
,,,Čatrnja
,,,Donji Budački
,,,Dugi Dol
,,,Dvorište
,,,Gornji Budački
,,,Gornji Skrad
,,,Grabovac Krnjački
,,,Grabovac Vojnićki
,,,Hrvatsko Žarište
,,,Jasnić Brdo
,,,Keserov Potok
,,,Krnjak
,,,Mala Crkvina
,,,Mlakovac
,,,Pavković Selo
,,,Perići
,,,Podgorje Krnjačko
,,,Poljana Vojnićka
,,,Ponorac
,,,Rastovac Budački
,,,Suhodol Budački
,,,Trupinjak
,,,Velika Crkvina
,,,Vojnović Brdo
,,,Zagorje
,,,Zimić 
,,Lasinja,Banski Kovačevac
,,,Crna Draga
,,,Desni Štefanki
,,,Desno Sredičko
,,,Lasinja
,,,Novo Selo Lasinjsko
,,,Prkos Lasinjski
,,,Sjeničak Lasinjski 
,,Netretić,Baići
,,,Bogovci
,,,Brajakovo Brdo
,,,Bukovje Netretićko
,,,Culibrki
,,,Donje Prilišće
,,,Donje Stative
,,,Dubravci
,,,Dubravčani
,,,Frketić Selo
,,,Goli Vrh Netretićki
,,,Gornje Prilišće
,,,Jakovci Netretićki
,,,Jarče Polje
,,,Kolenovac
,,,Kučevice
,,,Kunići Ribnički
,,,Ladešići
,,,Lončar Brdo
,,,Lonjgari
,,,Maletići
,,,Mali Modruš Potok
,,,Mračin
,,,Mrzljaki
,,,Netretić
,,,Novigrad na Dobri
,,,Pavičići
,,,Piščetke
,,,Planina Kunićka
,,,Račak
,,,Rešetarevo
,,,Rosopajnik
,,,Skupica
,,,Srednje Prilišće
,,,Straža
,,,Tončići
,,,Veliki Modruš Potok
,,,Vinski Vrh
,,,Vukova Gorica
,,,Zaborsko Selo
,,,Zagradci
,,,Završje Netretićko 
,,Plaški,Janja Gora
,,,Jezero I. Dio
,,,Kunić
,,,Lapat
,,,Latin
,,,Međeđak
,,,Plaški
,,,Pothum Plaščanski 
,,Rakovica,Basara
,,,Brajdić Selo
,,,Brezovac
,,,Broćanac
,,,Čatrnja
,,,Ćuić Brdo
,,,Drage
,,,Drežnik Grad
,,,Gornja Močila
,,,Grabovac
,,,Irinovac
,,,Jamarje
,,,Jelov Klanac
,,,Koranski Lug
,,,Kordunski Ljeskovac
,,,Korita
,,,Lipovac
,,,Lipovača
,,,Mašvina
,,,Nova Kršlja
,,,Oštarski Stanovi
,,,Rakovica
,,,Rakovičko Selište
,,,Sadilovac
,,,Selište Drežničko
,,,Stara Kršlja 
,,Ribnik,Donja Stranica
,,,Drenovica Lipnička
,,,Gorica Lipnička
,,,Gornja Stranica
,,,Gornji Goli Vrh Lipnički
,,,Griče
,,,Jarnevići
,,,Jasenovica
,,,Lipnik
,,,Martinski Vrh
,,,Novaki Lipnički
,,,Obrh
,,,Ravnica
,,,Ribnik
,,,Skradsko Selo
,,,Sopčić Vrh
,,,Veselići 
,,Saborsko,Begovac
,,,Blata
,,,Lička Jesenica
,,,Saborsko 
,,Tounj,Gerovo Tounjsko
,,,Kamenica Skradnička
,,,Potok Tounjski
,,,Rebrovići
,,,Tounj
,,,Tržić Tounjski
,,,Zdenac 
,,Vojnić,Brdo Utinjsko
,,,Bukovica Utinjska
,,,Donja Brusovača
,,,Dunjak
,,,Džaperovac
,,,Gačeša Selo
,,,Gejkovac
,,,Gornja Brusovača
,,,Jagrovac
,,,Johovo
,,,Jurga
,,,Kartalije
,,,Kestenovac
,,,Klokoč
,,,Klupica
,,,Ključar
,,,Knežević Kosa
,,,Kokirevo
,,,Kolarić
,,,Krivaja Vojnićka
,,,Krstinja
,,,Kupljensko
,,,Kusaja
,,,Lipovac Krstinjski
,,,Lisine
,,,Loskunja
,,,Malešević Selo
,,,Mandić Selo
,,,Međeđak Utinjski
,,,Miholjsko
,,,Mracelj
,,,Mračaj Krstinjski
,,,Petrova Poljana
,,,Podsedlo
,,,Prisjeka
,,,Radmanovac
,,,Radonja
,,,Rajić Brdo
,,,Selakova Poljana
,,,Svinica Krstinjska
,,,Široka Rijeka
,,,Štakorovica
,,,Utinja Vrelo
,,,Vojišnica
,,,Vojnić
,,,Živković Kosa 
,,Žakanje,Breznik Žakanjski
,,,Brihovo
,,,Bubnjarački Brod
,,,Bubnjarci
,,,Donji Bukovac Žakanjski
,,,Ertić
,,,Gornji Bukovac Žakanjski
,,,Jadrići
,,,Jugovac
,,,Jurovo
,,,Jurovski Brod
,,,Kohanjac
,,,Mala Paka
,,,Mišinci
,,,Mošanci
,,,Pravutina
,,,Sela Žakanjska
,,,Sračak
,,,Stankovci
,,,Velika Paka
,,,Zaluka Lipnička
,,,Žakanje 
Varaždinska županija,Ivanec,,Bedenec
,,,Cerje Tužno
,,,Gačice
,,,Gečkovec
,,,Horvatsko
,,,Ivanec
,,,Ivanečka Željeznica
,,,Ivanečki Vrhovec
,,,Ivanečko Naselje
,,,Jerovec
,,,Kaniža
,,,Knapić
,,,Lančić
,,,Lovrečan
,,,Lukavec
,,,Margečan
,,,Osečka
,,,Pece
,,,Prigorec
,,,Punikve
,,,Radovan
,,,Ribić Breg
,,,Salinovec
,,,Seljanec
,,,Stažnjevec
,,,Škriljevec
,,,Vitešinec
,,,Vuglovec
,,,Željeznica
,Lepoglava,,Bednjica
,,,Crkovec
,,,Donja Višnjica
,,,Gornja Višnjica
,,,Jazbina Višnjička
,,,Kamenica
,,,Kamenički Vrhovec
,,,Kameničko Podgorje
,,,Lepoglava
,,,Muričevec
,,,Očura
,,,Viletinec
,,,Vulišinec
,,,Zalužje
,,,Zlogonje
,,,Žarovnica
,Ludbreg,,Apatija
,,,Bolfan
,,,Čukovec
,,,Globočec Ludbreški
,,,Hrastovsko
,,,Kućan Ludbreški
,,,Ludbreg
,,,Poljanec
,,,Segovina
,,,Selnik
,,,Sigetec Ludbreški
,,,Slokovec
,,,Vinogradi Ludbreški
,Novi Marof,,Bela
,,,Donje Makojišće
,,,Filipići
,,,Gornje Makojišće
,,,Grana
,,,Jelenščak
,,,Kamena Gorica
,,,Ključ
,,,Krč
,,,Madžarevo
,,,Možđenec
,,,Novi Marof
,,,Orehovec
,,,Oštrice
,,,Paka
,,,Podevčevo
,,,Podrute
,,,Presečno
,,,Remetinec
,,,Strmec Remetinečki
,,,Sudovec
,,,Topličica
,,,Završje Podbelsko
,Varaždin,,Črnec Biškupečki
,,,Donji Kućan
,,,Gojanec
,,,Gornji Kućan
,,,Hrašćica
,,,Jalkovec
,,,Kućan Marof
,,,Poljana Biškupečka
,,,Varaždin
,,,Zbelava
,Varaždinske Toplice,,Boričevec Toplički Črnile
,,,Čurilovec
,,,Donja Poljana
,,,Drenovec
,,,Gornja Poljana
,,,Grešćevina
,,,Hrastovec Toplički
,,,Jalševec Svibovečki
,,,Jarki Horvatićevi
,,,Leskovec Toplički
,,,Lovrentovec
,,,Lukačevec Toplički
,,,Martinkovec
,,,Petkovec Toplički
,,,Pišćanovec
,,,Retkovec Svibovečki
,,,Rukljevina
,,,Svibovec
,,,Škarnik
,,,Tuhovec
,,,Varaždinske Toplice
,,,Vrtlinovec
,,Bednja,Bednja
,,,Benkovec
,,,Brezova Gora
,,,Cvetlin
,,,Jamno
,,,Jazbina Cvetlinska
,,,Ježovec
,,,Mali Gorenec
,,,Meljan
,,,Osonjak
,,,Pašnik
,,,Pleš
,,,Podgorje Bednjansko
,,,Prebukovje
,,,Purga Bednjanska
,,,Rinkovec
,,,Sveti Josip
,,,Šaša
,,,Šinkovica Bednjanska
,,,Šinkovica Šaška
,,,Trakošćan
,,,Veliki Gorenec
,,,Vranojelje
,,,Vrbno
,,,Vrhovec Bednjanski
,,Beretinec,Beretinec
,,,Črešnjevo
,,,Ledinec
,,Breznica,Bisag
,,,Borenec
,,,Breznica
,,,Čret Bisaški
,,,Drašković
,,,Jales Breznički
,,,Jarek Bisaški
,,,Mirkovec Breznički
,,,Podvorec
,,,Tkalec
,,Breznički Hum,Breznički Hum
,,,Butkovec
,,,Krščenovec
,,,Radešić
,,,Šćepanje
,,Cestica,Babinec
,,,Brezje Dravsko
,,,Cestica
,,,Dubrava Križovljanska
,,,Falinić Breg
,,,Gornje Vratno
,,,Jarki
,,,Kolarovec
,,,Križanče
,,,Križovljan Radovečki
,,,Mali Lovrečan
,,,Malo Gradišće
,,,Natkrižovljan
,,,Otok Virje
,,,Radovec
,,,Radovec Polje
,,,Selci Križovljanski
,,,Veliki Lovrečan
,,,Virje Križovljansko
,,,Vratno Otok
,,Donja Voća,Budinščak
,,,Donja Voća
,,,Fotez Breg
,,,Gornja Voća
,,,Jelovec Voćanski
,,,Plitvica Voćanska
,,,Rijeka Voćanska
,,,Slivarsko
,,Gornji Kneginec,Donji Kneginec
,,,Gornji Kneginec
,,,Lužan Biškupečki
,,,Turčin
,,,Varaždin Breg
,,Jalžabet,Imbriovec Jalžabetski
,,,Jakopovec
,,,Jalžabet
,,,Kaštelanec
,,,Kelemen
,,,Leštakovec
,,,Novakovec
,,,Pihovec
,,Klenovnik,Dubravec
,,,Goranec
,,,Klenovnik
,,,Lipovnik
,,,Plemenšćina
,,,Vukovoj
,,Ljubešćica,Kapela Kalnička
,,,Ljubelj
,,,Ljubelj Kalnički
,,,Ljubešćica
,,,Rakovec
,,Mali Bukovec,Lunjkovec
,,,Mali Bukovec
,,,Martinić
,,,Novo Selo Podravsko
,,,Sveti Petar
,,,Županec
,,Martijanec,Čičkovina
,,,Gornji Martijanec
,,,Hrastovljan
,,,Križovljan
,,,Madaraševec
,,,Martijanec
,,,Rivalno
,,,Slanje
,,,Sudovčina
,,,Vrbanovec
,,Maruševec,Bikovec
,,,Biljevec
,,,Brodarovec
,,,Cerje Nebojse
,,,Čalinec
,,,Donje Ladanje
,,,Druškovec
,,,Greda
,,,Jurketinec
,,,Kapelec
,,,Korenjak
,,,Koretinec
,,,Koškovec
,,,Maruševec
,,,Novaki
,,,Selnik
,,Petrijanec,Donje Vratno
,,,Družbinec
,,,Majerje
,,,Nova Ves Petrijanečka
,,,Petrijanec
,,,Strmec Podravski
,,,Zelendvor
,,Sračinec,Sračinec
,,,Svibovec Podravski
,,Sveti Đurđ,Hrženica
,,,Karlovec Ludbreški
,,,Komarnica Ludbreška
,,,Luka Ludbreška
,,,Obrankovec
,,,Priles
,,,Sesvete Ludbreške
,,,Struga
,,,Sveti Đurđ
,,Sveti Ilija,Beletinec
,,,Doljan
,,,Križanec
,,,Krušljevec
,,,Seketin
,,,Sveti Ilija
,,,Tomaševec Biškupečki
,,,Žigrovec
,,Trnovec Bartolovečki,Bartolovec
,,,Šemovec
,,,Štefanec
,,,Trnovec
,,,Zamlaka
,,,Žabnik
,,Veliki Bukovec,Dubovica
,,,Kapela Podravska
,,,Veliki Bukovec
,,Vidovec,Budislavec
,,,Cargovec
,,,Domitrovec
,,,Krkanec
,,,Nedeljanec
,,,Papinec
,,,Prekno
,,,Šijanec
,,,Tužno
,,,Vidovec
,,,Zamlača
,,Vinica,Donje Vratno
,,,Gornje Ladanje
,,,Goruševnjak
,,,Marčan
,,,Pešćenica Vinička
,,,Vinica
,,,Vinica Breg
,,Visoko,Čanjevo
,,,Đurinovec
,,,Kračevec
,,,Presečno Visočko
,,,Vinično
,,,Visoko
,,,Vrh Visočki
